file,method,scenario,base_scenario,derailment_level,Plot,Development,Language Use,Interruption Handling,Character Fidelity,Narrative Control,Anthropomorphism,Overall
evaluation_results/complete_derail_red_riding_hood/evaluation_result_20260513_195059.json,baseline,complete_derail_red_riding_hood,red_riding_hood,complete,3.0,4.0,8.0,5.0,9.0,3.0,,5.0
evaluation_results/complete_derail_red_riding_hood/evaluation_result_20260513_195059.json,director,complete_derail_red_riding_hood,red_riding_hood,complete,8.0,7.0,9.0,9.0,10.0,8.0,,8.5
evaluation_results/complete_derail_red_riding_hood/evaluation_result_20260521_112021.json,director,complete_derail_red_riding_hood,red_riding_hood,complete,6.0,5.0,9.0,8.0,10.0,6.0,,7.0
evaluation_results/complete_derail_red_riding_hood/evaluation_result_20260521_112021.json,time_constrained (5.0min),complete_derail_red_riding_hood,red_riding_hood,complete,7.0,6.0,9.0,8.0,10.0,6.0,,7.0
evaluation_results/evaluation_result_20260514_191253.json,director,noderail_red_riding_hood,red_riding_hood,none,8.0,7.0,9.0,9.0,10.0,7.0,,8.0
evaluation_results/evaluation_result_20260514_191253.json,codi,noderail_red_riding_hood,red_riding_hood,none,4.0,5.0,6.0,,3.0,4.0,,4.0
evaluation_results/medium_derail_red_riding_hood/evaluation_result_20260513_193857.json,baseline,medium_derail_red_riding_hood,red_riding_hood,medium,3.0,4.0,8.0,6.0,9.0,3.0,,5.0
evaluation_results/medium_derail_red_riding_hood/evaluation_result_20260513_193857.json,director,medium_derail_red_riding_hood,red_riding_hood,medium,7.0,6.0,9.0,7.0,10.0,6.0,,7.0
evaluation_results/noderail_red_riding_hood/evaluation_result_20260513_193502.json,baseline,noderail_red_riding_hood,red_riding_hood,none,5.0,6.0,9.0,8.0,10.0,4.0,,6.0
evaluation_results/noderail_red_riding_hood/evaluation_result_20260513_193502.json,director,noderail_red_riding_hood,red_riding_hood,none,8.0,7.0,9.0,9.0,10.0,7.0,,8.0
evaluation_results/noderail_red_riding_hood/pairwise_codi_vs_director_run_1.json,codi,noderail_red_riding_hood,red_riding_hood,none,6.0,7.0,8.0,3.0,2.0,5.0,,5.0
evaluation_results/noderail_red_riding_hood/pairwise_codi_vs_director_run_1.json,director,noderail_red_riding_hood,red_riding_hood,none,8.0,7.0,9.0,9.0,10.0,8.0,,8.5
evaluation_results/olaf_arendelle_tour_no_derailment/pairwise_run_1.json,baseline,olaf_arendelle_tour_no_derailment,olaf_arendelle_tour,none,3.0,4.0,8.0,5.0,9.0,2.0,,5.0
evaluation_results/olaf_arendelle_tour_no_derailment/pairwise_run_1.json,director,olaf_arendelle_tour_no_derailment,olaf_arendelle_tour,none,6.0,5.0,9.0,8.0,9.0,6.0,,7.0
evaluation_results/olaf_first_summer_picnic_no_derailment/pairwise_run_1.json,baseline,olaf_first_summer_picnic_no_derailment,olaf_first_summer_picnic,none,6.0,6.0,9.0,8.0,9.0,5.0,,7.0
evaluation_results/olaf_first_summer_picnic_no_derailment/pairwise_run_1.json,director,olaf_first_summer_picnic_no_derailment,olaf_first_summer_picnic,none,9.0,9.0,9.0,9.0,10.0,9.0,,9.0
evaluation_results/olaf_frozen_adventure_traditions_no_derailment/pairwise_run_1.json,baseline,olaf_frozen_adventure_traditions_no_derailment,olaf_frozen_adventure_traditions,none,7.0,6.0,9.0,8.0,10.0,6.0,,7.0
